ticker,finalPositionAsPercentage,AveragePositionAsPercentage,SDPositionAsPercentage,MaxPositionAsPercentage,MinPositionAsPercentage,AvgChangeInPositionAsPercentage,SDChangeInPositionAsPercentage,MinChangeInPositionAsPercentage,MaxChangeInPositionAsPercentage,finalPosition,AveragePosition,SDPosition,MaxPosition,MinPosition,AvgChangeInPosition,SDChangeInPosition,MinChangeInPosition,MaxChangeInPosition,FinalHoldingGrossReturn,AverageHoldingGrossReturn,SDHoldingGrossReturn,MinHoldingGrossReturn,MaxHoldingGrossReturn
XOM,0.0,,,,,,,,,0.0,,,,,,,,,0.996083929155568,0.9926474877210892,0.0030866067729154,0.9865320809383616,1.0013178185896536
AAPL,0.0009225280326196,0.0009225280326196,,0.0009225280326196,0.0009225280326196,,,,,0.1809999999999831,0.1809999999999831,,0.1809999999999831,0.1809999999999831,,,,,0.9972375127421,0.9984199796126404,0.0012972449413417,0.9957084607543324,1.0021406727828748
MSFT,0.0025363821641605,0.0025363821641605,,0.0025363821641605,0.0025363821641605,,,,,0.8499999999999659,0.8499999999999659,,0.8499999999999659,0.8499999999999659,,,,,1.003980628008224,1.0054971856104575,0.0030973006770497,0.9963595455996754,1.0098322108598934
TSLA,-0.0051414654679936,-0.0051414654679936,,-0.0051414654679936,-0.0051414654679936,,,,,-1.367999999999995,-1.367999999999995,,-1.367999999999995,-1.367999999999995,,,,,0.9816177575994468,0.9848731324700236,0.0040564131865278,0.9786561532216842,1.0
AXP,-0.0077142502790524,-0.0077142502790524,,-0.0077142502790524,-0.0077142502790524,,,,,-1.2439999999999998,-1.2439999999999998,,-1.2439999999999998,-1.2439999999999998,,,,,0.9971536648889991,1.00168353701778,0.0030332939605636,0.9965087436438052,1.0103869527471163
AXR,0.0062073246430788,0.0062073246430788,,0.0062073246430788,0.0062073246430788,,,,,0.0999999999999996,0.0999999999999996,,0.0999999999999996,0.0999999999999996,,,,,0.9826194909993792,0.9897596651227936,0.0145340370270675,0.958100558659218,1.01179391682185
AXS,0.0,,,,,,,,,0.0,,,,,,,,,1.013853995994903,1.0115903690944652,0.0024158893612362,1.0,1.0169306389950847
AXTA,-0.0130589631974673,-0.0130589631974673,,-0.0130589631974673,-0.0130589631974673,,,,,-0.3629999999999995,-0.3629999999999995,,-0.3629999999999995,-0.3629999999999995,,,,,0.9858617836457172,0.9959079701461974,0.0041744417552894,0.985466057488218,1.0062236932043025
AYI,-0.0193458118276225,-0.0193458118276225,,-0.0193458118276225,-0.0193458118276225,,,,,-3.11099999999999,-3.11099999999999,,-3.11099999999999,-3.11099999999999,,,,,0.9857533735464212,0.9937573804634762,0.0096085416464157,0.978794851066476,1.015670667247062
AZN,0.0,,,,,,,,,0.0,,,,,,,,,1.0105985037406484,1.011428271896288,0.0020273615404935,1.0,1.015006089427594
