Date,Open,High,Low,Close,Volume,Average,BarCount,Orders,HoldingGrossReturn,60PeriodSMA
20230718  06:30:00,100.92,100.95,100.58,100.58,2717,100.684,274,,1.0,
20230718  06:31:00,100.58,100.62,100.42,100.54,1009,100.521,611,,0.99838107,
20230718  06:32:00,100.54,100.54,100.35,100.44,723,100.435,463,,0.99752692,
20230718  06:33:00,100.44,100.49,100.34,100.39,492,100.427,324,,0.99744746,
20230718  06:34:00,100.4,100.58,100.38,100.44,798,100.46,480,,0.99777522,
20230718  06:35:00,100.45,100.65,100.44,100.65,780,100.533,422,,0.99850026,
20230718  06:36:00,100.65,100.65,100.41,100.51,687,100.505,494,,0.99822216,
20230718  06:37:00,100.5,100.81,100.5,100.81,532,100.679,348,,0.99995034,
20230718  06:38:00,100.81,100.94,100.74,100.8,993,100.838,664,,1.00152954,
20230718  06:39:00,100.8,100.95,100.79,100.81,830,100.869,533,,1.00183743,
20230718  06:40:00,100.81,100.92,100.78,100.9,493,100.843,300,,1.0015792,
20230718  06:41:00,100.89,101.07,100.88,101.04,998,100.96,649,,1.00274125,
20230718  06:42:00,101.04,101.23,101.04,101.21,769,101.128,474,,1.00440984,
20230718  06:43:00,101.21,101.43,101.18,101.37,672,101.291,357,,1.00602876,
20230718  06:44:00,101.37,101.49,101.23,101.27,705,101.39,376,,1.00701204,
20230718  06:45:00,101.27,101.59,101.27,101.53,529,101.509,275,,1.00819395,
20230718  06:46:00,101.51,101.54,101.42,101.44,365,101.473,222,,1.0078364,
20230718  06:47:00,101.45,101.5,101.3,101.34,380,101.398,271,,1.00709149,
20230718  06:48:00,101.35,101.5,101.32,101.5,396,101.402,210,,1.00713122,
20230718  06:49:00,101.5,101.6,101.45,101.52,368,101.523,213,,1.008333,
20230718  06:50:00,101.52,101.61,101.45,101.47,415,101.55,230,,1.00860117,
20230718  06:51:00,101.48,101.61,101.48,101.57,415,101.541,246,,1.00851178,
20230718  06:52:00,101.58,101.78,101.56,101.57,549,101.663,319,,1.00972349,
20230718  06:53:00,101.57,101.61,101.52,101.57,814,101.576,403,,1.0088594,
20230718  06:54:00,101.57,101.64,101.45,101.45,379,101.549,237,,1.00859124,
20230718  06:55:00,101.44,101.55,101.43,101.53,263,101.506,163,,1.00816416,
20230718  06:56:00,101.53,101.59,101.51,101.58,409,101.552,251,,1.00862103,
20230718  06:57:00,101.58,101.7,101.57,101.62,635,101.629,356,,1.0093858,
20230718  06:58:00,101.63,101.8,101.61,101.8,724,101.713,361,,1.01022009,
20230718  06:59:00,101.8,101.81,101.67,101.68,462,101.738,230,,1.0104684,
20230718  07:00:00,101.7,101.85,101.68,101.83,409,101.752,213,,1.01060745,
20230718  07:01:00,101.83,101.86,101.67,101.69,415,101.781,222,,1.01089547,
20230718  07:02:00,101.68,101.73,101.66,101.69,269,101.697,146,,1.01006118,
20230718  07:03:00,101.68,101.83,101.68,101.81,404,101.769,157,,1.01077629,
20230718  07:04:00,101.81,101.92,101.76,101.91,378,101.846,162,,1.01154106,
20230718  07:05:00,101.91,101.94,101.84,101.88,308,101.893,180,,1.01200787,
20230718  07:06:00,101.88,101.96,101.83,101.96,246,101.903,168,,1.01210719,
20230718  07:07:00,101.95,102.01,101.93,101.99,609,101.982,232,,1.01289182,
20230718  07:08:00,101.99,102.02,101.92,101.99,277,101.971,164,,1.01278257,
20230718  07:09:00,101.98,102.03,101.96,101.99,317,102.005,125,,1.01312026,
20230718  07:10:00,101.98,102.04,101.97,101.99,262,102.01,132,,1.01316992,
20230718  07:11:00,101.99,102.0,101.91,101.93,266,101.945,160,,1.01252433,
20230718  07:12:00,101.93,101.93,101.86,101.87,180,101.894,123,,1.0120178,
20230718  07:13:00,101.88,101.98,101.86,101.95,592,101.921,212,,1.01228596,
20230718  07:14:00,101.96,101.97,101.87,101.89,332,101.904,212,,1.01211712,
20230718  07:15:00,101.88,101.91,101.68,101.7,427,101.779,248,,1.01087561,
20230718  07:16:00,101.7,101.76,101.67,101.72,274,101.714,165,,1.01023003,
20230718  07:17:00,101.72,101.72,101.57,101.59,259,101.64,131,,1.00949505,
20230718  07:18:00,101.6,101.63,101.5,101.59,243,101.562,144,,1.00872035,
20230718  07:19:00,101.59,101.67,101.58,101.66,196,101.622,109,,1.00931628,
20230718  07:20:00,101.66,101.68,101.61,101.64,225,101.65,164,,1.00959437,
20230718  07:21:00,101.63,101.73,101.59,101.72,254,101.646,169,,1.00955465,
20230718  07:22:00,101.72,101.75,101.66,101.72,192,101.716,120,,1.01024989,
